,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
354,vila franca do campo,pt,1561325798,37.72,-25.43,66.2,63,20,6.93
355,inhambane,mz,1561325799,-23.87,35.38,65.21,91,17,3.58
356,varkaus,fi,1561325799,62.32,27.87,54.0,81,0,1.12
357,belyy yar,ru,1561325799,53.6,91.39,60.8,72,40,4.47
358,baghdad,iq,1561325800,33.3,44.38,89.6,19,0,8.05
359,san felipe,mx,1561325800,31.02,-114.84,88.0,51,0,7.0
360,seoul,kr,1561325800,37.57,126.98,69.8,93,1,1.12
361,hombourg-haut,fr,1561325800,49.13,6.78,72.0,82,0,6.93
362,cam ranh,vn,1561325801,11.92,109.15,82.4,78,20,2.24
363,granadilla de abona,es,1561325801,28.12,-16.58,75.2,69,20,6.93
364,dafeng,cn,1561325801,33.2,120.46,71.01,80,100,4.56
365,cavalcante,br,1561325802,-13.79,-47.46,64.48,63,0,6.33
366,mayumba,ga,1561325803,-3.44,10.65,74.68,84,0,6.67
367,cedar city,us,1561325543,37.68,-113.06,75.2,12,1,4.7
368,rocha,uy,1561325606,-34.48,-54.34,68.11,86,97,11.83
369,solnechnyy,ru,1561325804,50.72,136.64,53.55,98,100,1.32
370,rawson,ar,1561325804,-43.3,-65.11,50.04,56,0,7.02
371,quelimane,mz,1561325804,-17.88,36.89,69.8,94,20,0.25
372,beoumi,ci,1561325805,7.67,-5.58,78.8,83,20,6.93
373,dunedin,nz,1561325805,-45.87,170.5,48.99,72,100,25.01
374,riyadh,sa,1561325805,24.63,46.72,87.8,12,0,4.7
375,coquimbo,cl,1561325806,-29.95,-71.34,73.0,82,0,5.82
376,harper,lr,1561325806,4.38,-7.71,77.96,83,100,15.21
377,north bend,us,1561325807,43.41,-124.22,77.0,59,1,18.34
378,tarko-sale,ru,1561325807,64.92,77.78,45.0,89,41,11.54
379,salym,ru,1561325807,60.06,71.48,53.53,76,88,4.94
380,nelson bay,au,1561325808,-32.72,152.14,52.0,100,75,8.05
381,lyuban,by,1561325808,52.8,28.0,58.57,95,0,7.9
382,hong gai,vn,1561325808,20.96,107.09,86.0,89,75,9.17
383,ofaqim,il,1561325808,31.31,34.62,79.0,15,0,8.14
384,bambanglipuro,id,1561325809,-7.95,110.28,74.3,84,94,10.47
385,oistins,bb,1561325781,13.07,-59.53,82.4,83,40,8.05
386,wajima,jp,1561325809,37.4,136.9,66.11,83,80,5.59
387,tlacotepec,mx,1561325810,18.96,-99.93,62.6,67,90,12.75
388,carutapera,br,1561325811,-1.2,-46.02,76.43,94,100,4.45
